################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-12-20 00:03:32 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-07-02 09:30:06","5.34.74.210","443","online","2021-12-20","TrickBot"
"2021-07-02 19:15:50","167.172.119.42","443","online","2021-12-20","Dridex"
"2021-07-03 03:30:12","190.197.55.254","443","online","2021-12-20","TrickBot"
"2021-07-04 18:30:08","182.253.106.35","443","online","2021-12-20","TrickBot"
"2021-07-06 16:18:10","178.79.147.66","443","online","2021-12-20","Dridex"
"2021-07-07 16:16:04","54.37.106.167","13786","online","2021-12-20","Dridex"
"2021-07-10 03:28:28","37.59.103.148","4664","online","2021-12-20","Dridex"
"2021-07-13 08:31:22","107.170.64.97","9043","online","2021-12-20","Dridex"
"2021-07-14 15:30:51","66.175.217.172","13786","online","2021-12-20","Dridex"
"2021-07-21 15:16:51","178.238.236.59","443","online","2021-12-20","Dridex"
"2021-07-28 16:01:42","104.248.178.90","4664","online","2021-12-20","Dridex"
"2021-07-29 17:42:58","177.75.5.222","443","online","2021-12-20","TrickBot"
"2021-07-30 19:14:45","181.129.167.82","443","online","2021-12-20","TrickBot"
"2021-07-30 21:15:51","128.201.76.252","443","offline","2021-12-09","TrickBot"
"2021-07-30 22:31:21","36.67.97.127","443","offline","2021-12-14","TrickBot"
"2021-07-30 23:46:31","103.238.203.82","443","online","2021-12-20","TrickBot"
"2021-07-31 19:58:44","103.140.207.110","443","online","2021-12-20","TrickBot"
"2021-08-01 00:47:34","103.109.247.13","10443","online","2021-12-20","Dridex"
"2021-08-01 00:47:35","103.253.107.156","7443","online","2021-12-20","Dridex"
"2021-08-01 11:36:20","36.89.98.183","443","online","2021-12-20","TrickBot"
"2021-08-02 09:26:01","185.164.32.148","443","online","2021-12-20","TrickBot"
"2021-08-02 16:27:16","46.99.175.217","443","offline","2021-11-30","TrickBot"
"2021-08-03 19:00:03","182.253.210.130","443","offline","2021-12-08","TrickBot"
"2021-08-04 17:31:59","113.160.37.196","443","online","2021-12-20","TrickBot"
"2021-08-04 19:22:54","137.74.112.43","443","offline","2021-12-02","Dridex"
"2021-08-04 19:22:54","216.108.227.55","6225","online","2021-12-20","Dridex"
"2021-08-04 22:15:02","24.28.12.23","443","offline","2021-12-03","TrickBot"
"2021-08-05 13:50:54","103.253.107.155","7443","online","2021-12-20","Dridex"
"2021-08-08 09:33:09","178.33.13.40","7443","online","2021-12-20","Dridex"
"2021-08-09 12:23:54","190.93.208.53","443","online","2021-12-20","TrickBot"
"2021-08-09 12:28:22","96.9.77.56","443","online","2021-12-20","TrickBot"
"2021-08-11 07:44:52","43.252.158.104","443","offline","2021-12-08","TrickBot"
"2021-08-11 07:45:05","75.176.235.182","443","offline","2021-12-08","TrickBot"
"2021-08-11 13:16:33","125.234.128.250","443","offline","2021-12-08","TrickBot"
"2021-08-12 19:03:31","190.183.237.119","10172","offline","2021-12-04","Dridex"
"2021-08-12 19:03:34","103.253.107.198","7443","online","2021-12-20","Dridex"
"2021-08-14 18:40:26","204.174.223.210","9043","online","2021-12-20","Dridex"
"2021-08-16 15:18:09","188.40.100.254","4664","offline","2021-12-04","Dridex"
"2021-08-16 15:18:09","103.109.247.9","10443","online","2021-12-20","Dridex"
"2021-08-18 15:31:36","74.63.218.139","13786","offline","2021-12-07","Dridex"
"2021-08-20 00:57:33","148.251.238.52","10172","online","2021-12-20","Dridex"
"2021-08-20 04:28:37","50.116.62.25","8194","online","2021-12-20","Dridex"
"2021-08-23 21:09:45","185.82.144.173","8443","online","2021-12-20","Dridex"
"2021-08-25 14:51:00","54.39.98.141","6602","online","2021-12-20","Dridex"
"2021-08-25 14:51:02","103.82.248.59","443","online","2021-12-20","Dridex"
"2021-08-25 14:51:02","103.109.247.8","10443","online","2021-12-20","Dridex"
"2021-08-27 04:48:12","192.99.150.39","7443","online","2021-12-20","Dridex"
"2021-08-27 04:48:12","46.101.182.168","10172","offline","2021-12-01","Dridex"
"2021-08-28 21:57:30","213.136.86.165","7443","online","2021-12-20","Dridex"
"2021-08-28 21:57:35","45.33.33.91","10172","offline","2021-12-09","Dridex"
"2021-08-30 22:30:31","97.107.134.115","10172","online","2021-12-20","Dridex"
"2021-08-30 22:30:34","103.253.107.153","7443","online","2021-12-20","Dridex"
"2021-09-01 14:52:02","103.87.173.60","443","online","2021-12-20","Dridex"
"2021-09-03 07:43:22","194.190.18.122","443","online","2021-12-20","TrickBot"
"2021-09-03 07:43:24","186.4.193.75","443","offline","2021-11-26","TrickBot"
"2021-09-04 21:09:55","207.154.208.93","6225","online","2021-12-20","Dridex"
"2021-09-07 22:20:53","5.199.162.48","9676","online","2021-12-20","Dridex"
"2021-09-07 22:20:54","194.1.193.11","8443","online","2021-12-20","Dridex"
"2021-09-08 14:30:34","201.148.20.37","5412","online","2021-12-20","Dridex"
"2021-09-08 14:30:41","103.121.123.61","443","offline","2021-11-30","Dridex"
"2021-09-10 07:26:11","128.199.206.91","6225","online","2021-12-20","Dridex"
"2021-09-13 20:50:27","114.79.130.68","443","offline","2021-12-02","Dridex"
"2021-09-15 15:18:19","103.233.25.228","443","online","2021-12-20","Dridex"
"2021-09-15 15:39:08","122.117.90.133","443","online","2021-12-20","TrickBot"
"2021-09-15 15:39:09","139.255.199.196","443","online","2021-12-20","TrickBot"
"2021-09-15 15:39:11","103.94.0.178","443","online","2021-12-20","TrickBot"
"2021-09-15 15:39:12","103.127.67.38","443","offline","2021-12-09","TrickBot"
"2021-09-15 15:39:13","36.95.110.19","443","online","2021-12-20","TrickBot"
"2021-09-15 15:39:14","36.91.36.29","443","online","2021-12-20","TrickBot"
"2021-09-15 15:39:14","36.37.99.242","443","online","2021-12-20","TrickBot"
"2021-09-16 00:53:58","128.199.232.159","6225","online","2021-12-20","Dridex"
"2021-09-17 11:44:00","159.65.3.147","6225","online","2021-12-20","Dridex"
"2021-09-20 07:59:01","54.37.84.240","10172","offline","2021-12-17","Dridex"
"2021-09-23 07:14:20","31.173.137.39","443","online","2021-12-20","TrickBot"
"2021-09-23 07:14:24","31.173.137.47","443","online","2021-12-20","TrickBot"
"2021-09-23 07:14:25","37.57.82.112","443","online","2021-12-20","TrickBot"
"2021-09-23 07:14:25","98.0.159.122","443","online","2021-12-20","TrickBot"
"2021-09-23 07:14:27","202.179.185.203","443","offline","2021-12-08","TrickBot"
"2021-09-23 07:14:29","31.173.137.49","443","online","2021-12-20","TrickBot"
"2021-09-23 07:14:31","36.67.109.15","443","online","2021-12-20","TrickBot"
"2021-09-24 19:14:26","124.41.211.17","443","online","2021-12-20","TrickBot"
"2021-09-25 08:33:39","103.52.135.61","443","online","2021-12-20","TrickBot"
"2021-09-25 19:14:16","36.92.59.93","443","online","2021-12-20","TrickBot"
"2021-09-27 05:19:32","80.211.40.191","10172","online","2021-12-20","Dridex"
"2021-09-27 14:55:19","138.197.109.175","443","online","2021-12-20","Dridex"
"2021-09-27 14:55:19","45.33.20.41","9217","online","2021-12-20","Dridex"
"2021-09-29 08:42:47","81.250.153.227","2222","offline","2021-12-02","QakBot"
"2021-09-29 08:42:47","89.101.97.139","443","online","2021-12-20","QakBot"
"2021-09-29 08:42:49","136.232.34.70","443","online","2021-12-20","QakBot"
"2021-09-29 08:42:51","120.150.218.241","995","online","2021-12-20","QakBot"
"2021-09-29 08:42:51","41.228.22.180","443","online","2021-12-20","QakBot"
"2021-09-29 12:05:05","24.139.72.117","443","offline","2021-12-06","QakBot"
"2021-09-29 12:15:05","24.229.150.54","995","offline","2021-12-13","QakBot"
"2021-09-29 13:10:07","73.151.236.31","443","offline","2021-12-20","QakBot"
"2021-09-29 13:35:05","68.204.7.158","443","offline","2021-12-19","QakBot"
"2021-09-29 13:50:05","75.188.35.168","443","offline","2021-12-19","QakBot"
"2021-09-29 14:05:04","173.21.10.71","2222","offline","2021-12-20","QakBot"
"2021-09-29 14:20:05","24.55.112.61","443","offline","2021-12-16","QakBot"
"2021-09-29 14:35:05","45.46.53.140","2222","offline","2021-12-07","QakBot"
"2021-09-29 14:55:07","217.17.56.163","443","offline","2021-12-17","QakBot"
"2021-09-29 14:55:09","217.17.56.163","2222","offline","2021-12-04","QakBot"
"2021-09-29 14:55:09","217.17.56.163","2078","offline","2021-12-17","QakBot"
"2021-09-29 14:55:09","217.17.56.163","465","offline","2021-12-17","QakBot"
"2021-09-29 15:15:06","71.74.12.34","443","offline","2021-12-20","QakBot"
"2021-09-29 16:00:43","186.250.48.123","7880","online","2021-12-20","Dridex"
"2021-09-29 16:45:05","76.25.142.196","443","offline","2021-12-20","QakBot"
"2021-09-29 20:00:05","67.165.206.193","993","offline","2021-12-20","QakBot"
"2021-09-30 16:55:04","109.12.111.14","443","offline","2021-12-19","QakBot"
"2021-09-30 18:05:07","68.186.192.69","443","online","2021-12-20","QakBot"
"2021-09-30 21:25:38","144.139.47.206","443","offline","2021-12-20","QakBot"
"2021-10-01 15:15:11","50.29.166.232","995","online","2021-12-20","QakBot"
"2021-10-01 15:46:33","94.200.181.154","443","offline","2021-11-27","QakBot"
"2021-10-01 19:05:08","24.152.219.253","995","online","2021-12-20","QakBot"
"2021-10-01 23:31:34","86.8.177.143","443","offline","2021-12-02","QakBot"
"2021-10-03 19:15:05","75.66.88.33","443","offline","2021-11-29","QakBot"
"2021-10-04 08:05:24","81.214.126.173","2222","online","2021-12-20","QakBot"
"2021-10-04 16:00:23","5.39.99.208","5412","online","2021-12-20","Dridex"
"2021-10-05 04:17:49","103.142.10.177","443","online","2021-12-20","QakBot"
"2021-10-05 16:16:54","103.146.232.154","443","offline","2021-12-08","TrickBot"
"2021-10-05 16:16:59","116.206.153.212","443","online","2021-12-20","TrickBot"
"2021-10-05 16:17:00","136.228.128.21","443","online","2021-12-20","TrickBot"
"2021-10-05 16:17:03","36.91.186.235","443","offline","2021-12-08","TrickBot"
"2021-10-06 05:32:46","89.137.52.44","443","offline","2021-12-19","QakBot"
"2021-10-06 18:47:08","77.57.204.78","443","offline","2021-12-11","QakBot"
"2021-10-06 21:00:16","116.203.55.59","443","offline","2021-12-04","Dridex"
"2021-10-06 21:00:17","213.190.4.223","9217","online","2021-12-20","Dridex"
"2021-10-06 23:50:05","27.223.92.142","995","offline","2021-12-15","QakBot"
"2021-10-07 07:57:49","2.222.167.138","443","offline","2021-12-14","QakBot"
"2021-10-07 10:15:31","80.6.192.58","443","offline","2021-12-19","QakBot"
"2021-10-07 17:07:53","73.140.38.124","443","offline","2021-12-20","QakBot"
"2021-10-08 14:48:30","93.48.58.123","2222","offline","2021-12-17","QakBot"
"2021-10-08 14:48:31","63.143.92.99","995","online","2021-12-20","QakBot"
"2021-10-11 07:48:40","212.112.86.37","9676","online","2021-12-20","Dridex"
"2021-10-11 18:50:00","139.162.232.153","443","offline","2021-12-08","Dridex"
"2021-10-13 13:26:03","51.83.3.52","13786","online","2021-12-20","Dridex"
"2021-10-13 13:35:12","69.64.50.41","6602","online","2021-12-20","Dridex"
"2021-10-13 15:44:44","65.100.174.110","443","online","2021-12-20","QakBot"
"2021-10-13 15:44:45","65.100.174.110","8443","offline","2021-12-18","QakBot"
"2021-10-13 17:20:48","45.90.108.123","13786","online","2021-12-20","Dridex"
"2021-10-13 17:20:48","198.199.98.78","9217","online","2021-12-20","Dridex"
"2021-10-13 17:30:14","96.37.113.36","993","online","2021-12-20","QakBot"
"2021-10-14 01:44:41","103.82.211.39","995","offline","2021-11-22","QakBot"
"2021-10-14 14:55:03","91.178.126.51","995","offline","2021-12-06","QakBot"
"2021-10-14 14:55:18","50.194.160.233","32100","offline","2021-12-02","QakBot"
"2021-10-15 04:45:29","103.82.211.39","465","offline","2021-11-22","QakBot"
"2021-10-15 13:55:38","65.100.174.110","995","offline","2021-11-27","QakBot"
"2021-10-15 20:45:29","136.143.11.232","443","online","2021-12-20","QakBot"
"2021-10-16 01:19:35","211.172.241.52","9676","online","2021-12-20","Dridex"
"2021-10-16 07:53:39","182.176.180.73","443","offline","2021-12-18","QakBot"
"2021-10-18 14:45:53","105.198.236.99","995","offline","2021-12-19","QakBot"
"2021-10-18 14:46:11","201.172.31.95","80","offline","2021-12-10","QakBot"
"2021-10-18 14:55:58","38.70.253.226","2222","online","2021-12-20","QakBot"
"2021-10-18 16:21:22","45.56.121.87","8116","online","2021-12-20","Dridex"
"2021-10-19 15:31:19","100.1.119.41","443","offline","2021-12-17","QakBot"
"2021-10-19 20:11:27","108.4.67.252","443","offline","2021-12-17","QakBot"
"2021-10-20 05:11:28","123.252.190.14","443","offline","2021-12-07","QakBot"
"2021-10-20 15:51:37","103.150.40.76","995","offline","2021-11-26","QakBot"
"2021-10-20 16:39:27","207.180.220.242","8116","online","2021-12-20","Dridex"
"2021-10-21 19:21:32","212.237.17.99","443","online","2021-12-20","Dridex"
"2021-10-21 19:21:32","51.254.140.238","8333","offline","2021-12-07","Dridex"
"2021-10-22 18:22:30","207.246.112.221","995","online","2021-12-20","QakBot"
"2021-10-22 18:22:33","73.25.109.183","2222","offline","2021-11-30","QakBot"
"2021-10-22 18:22:33","207.246.112.221","443","online","2021-12-20","QakBot"
"2021-10-25 04:26:26","96.21.251.127","2222","online","2021-12-20","QakBot"
"2021-10-25 13:22:42","94.60.254.81","443","offline","2021-12-20","QakBot"
"2021-10-25 14:05:06","92.59.35.196","2222","offline","2021-11-23","QakBot"
"2021-10-25 18:52:38","79.160.207.214","443","offline","2021-12-19","QakBot"
"2021-10-26 13:13:20","93.48.80.198","995","online","2021-12-20","QakBot"
"2021-10-26 16:03:21","117.248.109.38","21","offline","2021-12-18","QakBot"
"2021-10-26 16:13:26","75.169.58.229","32100","offline","2021-12-16","QakBot"
"2021-10-27 01:03:38","38.10.199.26","443","offline","2021-11-22","QakBot"
"2021-10-28 15:13:29","185.53.147.51","443","offline","2021-12-06","QakBot"
"2021-10-29 14:30:45","50.194.160.233","443","offline","2021-12-03","QakBot"
"2021-10-30 07:03:10","103.116.178.85","993","offline","2021-12-06","QakBot"
"2021-10-31 21:07:23","91.121.134.180","10172","online","2021-12-20","Dridex"
"2021-11-01 15:33:53","45.9.20.200","2211","online","2021-12-20","QakBot"
"2021-11-01 15:33:54","216.238.71.31","995","online","2021-12-20","QakBot"
"2021-11-01 15:33:54","216.238.71.31","443","online","2021-12-20","QakBot"
"2021-11-01 15:33:54","216.238.72.121","995","online","2021-12-20","QakBot"
"2021-11-01 15:33:54","216.238.72.121","443","online","2021-12-20","QakBot"
"2021-11-01 19:09:04","93.147.212.206","443","offline","2021-11-21","QakBot"
"2021-11-02 16:44:01","103.74.143.53","443","online","2021-12-20","Dridex"
"2021-11-03 16:34:11","104.130.140.69","8333","offline","2021-12-04","Dridex"
"2021-11-04 14:09:27","190.73.3.148","2222","online","2021-12-20","QakBot"
"2021-11-06 11:30:13","200.83.98.31","443","online","2021-12-20","TrickBot"
"2021-11-06 11:30:38","202.51.122.163","443","online","2021-12-20","TrickBot"
"2021-11-06 11:30:42","181.189.221.250","443","online","2021-12-20","TrickBot"
"2021-11-06 11:30:56","181.211.247.43","443","online","2021-12-20","TrickBot"
"2021-11-06 11:31:20","181.188.180.243","443","offline","2021-11-26","TrickBot"
"2021-11-06 11:31:21","116.90.234.82","443","online","2021-12-20","TrickBot"
"2021-11-06 11:31:27","190.61.46.106","443","online","2021-12-20","TrickBot"
"2021-11-06 11:31:44","202.144.203.140","443","online","2021-12-20","TrickBot"
"2021-11-06 11:31:47","103.80.54.34","443","offline","2021-11-22","TrickBot"
"2021-11-06 11:32:04","61.19.116.53","443","online","2021-12-20","TrickBot"
"2021-11-06 11:32:39","203.173.94.162","443","online","2021-12-20","TrickBot"
"2021-11-06 11:35:02","136.228.129.179","443","offline","2021-12-13","TrickBot"
"2021-11-06 12:38:30","177.37.161.136","443","offline","2021-12-15","TrickBot"
"2021-11-06 12:38:32","202.58.199.82","443","offline","2021-11-29","TrickBot"
"2021-11-06 20:20:45","177.138.142.97","443","offline","2021-12-09","TrickBot"
"2021-11-06 23:59:08","191.36.151.129","443","online","2021-12-20","TrickBot"
"2021-11-07 15:39:42","43.225.69.20","443","offline","2021-11-22","TrickBot"
"2021-11-07 19:32:03","181.112.49.170","443","offline","2021-11-28","TrickBot"
"2021-11-08 10:05:02","200.201.185.194","443","offline","2021-12-17","TrickBot"
"2021-11-09 11:29:39","171.235.33.211","443","offline","2021-12-15","TrickBot"
"2021-11-09 18:42:32","95.110.160.239","9676","online","2021-12-20","Dridex"
"2021-11-09 18:42:32","198.61.167.176","10172","online","2021-12-20","Dridex"
"2021-11-10 17:14:02","189.147.225.12","443","offline","2021-11-24","QakBot"
"2021-11-11 04:29:06","103.143.8.71","995","offline","2021-12-18","QakBot"
"2021-11-11 23:35:27","24.32.202.68","443","offline","2021-12-08","TrickBot"
"2021-11-12 04:25:57","102.65.38.57","443","offline","2021-12-03","QakBot"
"2021-11-12 10:44:41","162.33.177.74","443","offline","2021-11-23","TrickBot"
"2021-11-12 13:21:09","220.255.25.187","2222","offline","2021-12-06","QakBot"
"2021-11-13 13:55:09","188.27.119.243","443","offline","2021-11-23","QakBot"
"2021-11-15 06:50:43","103.116.178.85","61200","offline","2021-12-06","QakBot"
"2021-11-15 13:08:45","5.9.14.91","10933","offline","2021-11-30","Dridex"
"2021-11-15 17:04:07","209.210.95.228","443","offline","2021-11-23","QakBot"
"2021-11-15 17:59:02","103.8.26.102","8080","online","2021-12-20","Emotet"
"2021-11-15 17:59:06","103.8.26.103","8080","online","2021-12-20","Emotet"
"2021-11-15 17:59:17","66.42.55.5","7080","offline","2021-11-20","Emotet"
"2021-11-15 17:59:19","94.177.248.64","443","offline","2021-11-22","Emotet"
"2021-11-15 19:13:43","168.197.250.14","80","online","2021-12-20","Emotet"
"2021-11-15 19:24:41","142.4.219.173","8080","online","2021-12-20","Emotet"
"2021-11-15 19:25:03","51.178.61.60","443","online","2021-12-20","Emotet"
"2021-11-15 19:25:04","51.210.242.234","8080","online","2021-12-20","Emotet"
"2021-11-15 19:41:19","177.72.80.14","7080","online","2021-12-20","Emotet"
"2021-11-16 03:31:53","200.7.198.138","443","online","2021-12-20","TrickBot"
"2021-11-16 03:56:28","212.175.98.171","443","online","2021-12-20","TrickBot"
"2021-11-16 06:14:54","51.68.175.8","8080","offline","2021-12-14","Emotet"
"2021-11-16 06:14:59","210.57.217.132","8080","online","2021-12-20","Emotet"
"2021-11-16 06:57:31","45.79.33.48","8080","offline","2021-11-21","Emotet"
"2021-11-16 12:57:47","163.172.50.82","443","offline","2021-12-04","Emotet"
"2021-11-16 12:57:48","93.188.167.97","443","offline","2021-12-07","Emotet"
"2021-11-16 12:57:52","103.161.172.108","443","offline","2021-12-09","Emotet"
"2021-11-16 15:03:14","72.252.201.34","465","offline","2021-11-23","QakBot"
"2021-11-16 15:03:18","86.97.160.193","443","offline","2021-11-23","QakBot"
"2021-11-16 15:03:19","189.135.61.226","443","offline","2021-11-25","QakBot"
"2021-11-16 15:03:19","72.252.201.34","995","offline","2021-12-17","QakBot"
"2021-11-16 15:30:05","185.184.25.237","8080","offline","2021-12-19","Emotet"
"2021-11-16 18:20:39","202.29.239.161","443","online","2021-12-20","Emotet"
"2021-11-16 23:00:35","91.200.186.228","443","offline","2021-11-25","Emotet"
"2021-11-16 23:55:38","191.252.196.221","8080","offline","2021-11-26","Emotet"
"2021-11-17 04:55:35","62.210.200.63","443","offline","2021-12-07","Emotet"
"2021-11-17 15:26:43","198.199.70.22","6602","online","2021-12-20","Dridex"
"2021-11-17 15:26:43","164.68.99.3","5007","online","2021-12-20","Dridex"
"2021-11-17 15:26:44","142.93.218.86","4664","online","2021-12-20","Dridex"
"2021-11-17 17:00:37","31.220.49.39","8080","offline","2021-11-24","Emotet"
"2021-11-17 17:00:38","122.129.203.163","443","online","2021-12-20","Emotet"
"2021-11-19 18:03:51","73.171.4.177","443","offline","2021-12-10","QakBot"
"2021-11-19 18:12:23","5.189.150.29","9676","online","2021-12-20","Dridex"
"2021-11-19 18:33:54","200.127.27.220","465","offline","2021-11-23","QakBot"
"2021-11-19 19:13:54","5.193.134.177","995","offline","2021-11-27","QakBot"
"2021-11-19 19:33:52","218.101.110.3","995","online","2021-12-20","QakBot"
"2021-11-20 02:53:52","194.36.28.26","443","online","2021-12-20","QakBot"
"2021-11-20 12:13:36","86.173.96.86","443","offline","2021-11-21","QakBot"
"2021-11-20 15:29:53","87.120.37.231","443","offline","2021-12-05","BazarLoader"
"2021-11-20 15:33:56","164.90.229.209","443","offline","2021-11-20","BazarLoader"
"2021-11-20 15:33:56","162.33.178.121","443","offline","2021-11-25","BazarLoader"
"2021-11-20 15:33:56","162.33.178.65","443","offline","2021-11-25","BazarLoader"
"2021-11-20 15:33:56","162.33.179.16","443","offline","2021-11-25","BazarLoader"
"2021-11-20 15:33:56","162.33.178.137","443","offline","2021-11-23","BazarLoader"
"2021-11-20 15:33:56","162.33.177.123","443","offline","2021-11-25","BazarLoader"
"2021-11-20 15:33:56","162.33.179.12","443","offline","2021-11-25","BazarLoader"
